Fecha,Temp_Max,Temp_Min,Temp_Prom,Humedad_Max,Humedad_Min,Humedad_Prom,Lluvia,Presion,Viento_Max,Año,Decada
1994-11-02,26.7,21.2,23.64,99,79,92.58,14.8,1006.05,5.1,1994,1990
1994-11-03,28.4,21.5,23.7,98,74,91.08,19.9,1006.09,6.4,1994,1990
1994-11-04,27.5,21.4,23.66,97,77,91.54,4.9,1005.47,7.9,1994,1990
1994-11-05,25.3,21.6,22.91,99,87,95.38,18.9,1005.36,9.8,1994,1990
1994-11-06,24.3,21.6,22.41,99,90,97.5,33.0,1006.57,12.0,1994,1990
1994-11-07,24.8,21.3,22.68,99,87,96.54,35.5,1006.9,11.1,1994,1990
1994-11-08,25.4,21.2,22.89,99,85,95.08,13.8,1006.11,8.5,1994,1990
1994-11-09,25.4,21.1,22.64,99,87,96.17,20.5,1005.48,8.4,1994,1990
1994-11-10,26.8,21.2,23.66,99,80,90.33,4.1,1005.25,14.6,1994,1990
1994-11-11,28.3,20.6,24.24,95,69,86.46,1.6,1005.2,13.8,1994,1990
1994-11-12,28.9,21.9,24.63,96,72,87.88,11.8,1005.24,6.5,1994,1990
1994-11-13,27.8,21.7,24.31,96,78,89.71,4.9,1004.71,6.1,1994,1990
1994-11-14,28.0,21.1,24.2,97,67,86.88,1.8,1004.84,8.0,1994,1990
1994-11-15,28.0,21.7,23.96,98,71,90.08,13.2,1005.85,5.9,1994,1990
1994-11-16,28.8,21.3,24.53,99,66,85.71,5.4,1005.92,7.2,1994,1990
1994-11-17,28.7,21.1,24.17,95,67,85.62,10.9,1005.3,8.0,1994,1990
1994-11-18,27.6,21.4,24.28,98,76,88.04,6.8,1005.93,6.0,1994,1990
1994-11-19,26.8,21.6,24.35,97,76,87.71,12.2,1005.92,4.7,1994,1990
1994-11-20,27.4,22.5,24.46,95,73,87.21,15.2,1005.38,5.1,1994,1990
1994-11-21,28.3,20.7,24.18,95,67,85.29,2.4,1006.19,6.2,1994,1990
1994-11-22,29.3,21.8,24.65,95,63,82.08,2.0,1006.4,7.2,1994,1990
1994-11-23,28.4,21.4,24.33,95,66,83.62,13.8,1006.74,6.7,1994,1990
1994-11-24,27.0,21.2,23.78,98,73,89.38,18.4,1007.57,6.3,1994,1990
1994-11-25,25.8,21.2,23.06,99,81,93.88,56.8,1008.1,7.0,1994,1990
1994-11-26,25.2,20.8,22.72,99,88,97.17,40.7,1007.64,5.4,1994,1990
1994-11-27,25.2,21.4,23.05,99,87,94.5,15.2,1007.04,7.4,1994,1990
1994-11-28,27.5,20.6,23.84,98,72,87.96,6.6,1005.55,6.1,1994,1990
1994-11-29,28.8,22.3,24.61,94,65,84.96,2.4,1004.4,5.9,1994,1990
1994-11-30,29.6,21.4,24.78,93,60,80.17,0.9,1004.13,7.4,1994,1990
1994-12-01,29.5,21.3,24.84,91,58,79.42,1.2,1004.74,8.3,1994,1990
1994-12-02,29.5,21.5,24.64,95,58,78.33,2.0,1005.15,8.1,1994,1990
1994-12-03,29.7,20.2,24.29,94,57,78.54,1.7,1005.06,8.4,1994,1990
1994-12-04,30.1,20.9,24.91,92,58,78.62,0.9,1005.49,8.4,1994,1990
1994-12-05,30.2,21.7,25.51,91,58,77.04,0.7,1004.45,7.8,1994,1990
1994-12-06,29.9,22.9,25.78,88,58,77.0,1.1,1004.29,6.2,1994,1990
1994-12-07,28.6,22.9,24.99,93,66,83.83,3.3,1004.48,4.7,1994,1990
1994-12-08,27.1,22.7,24.41,98,78,90.67,8.3,1004.47,4.6,1994,1990
1994-12-09,28.7,21.5,24.53,96,71,88.25,7.7,1003.84,5.1,1994,1990
1994-12-10,29.6,22.0,25.27,93,62,81.79,0.5,1002.8,7.3,1994,1990
1994-12-11,30.3,22.2,25.77,92,59,79.83,3.2,1003.57,6.2,1994,1990
